ENGLISH,TÜRKÇE
egg,Yumurta
eight,sekiz
eighteen,on sekiz
eighty,seksen
either,herhangi biri
elderly,yaşlı
elect,seçmek
election,seçim
electric,elektrik
electrical,elektriksel
electricity,elektrik
electronic,elektronik
element,element
elephant,fil
eleven,on bir
else,başka
elsewhere,başka yerlerde
email,e -posta
embarrassed,utanmış
embarrassing,utandırıcı
emerge,meydana gelmek
emergency,acil durum
emotion,duygu
emotional,duygusal
emphasis,vurgu
emphasize,vurgu
employ,kullanmak
employee,çalışan
employer,iş veren
employment,iş
empty,boş
enable,olanak vermek
encounter,rastlamak
encourage,cesaretlendirmek
end,son
ending,bitirme
enemy,düşman
energy,enerji
engage,angaje etmek
engaged,nişanlı
engine,motor
engineer,mühendis
engineering,mühendislik
enhance,genişletmek
enjoy,Eğlence
enormous,kocaman
enough,yeterli
enquiry,sorgu
ensure,emin olmak
enter,girmek
entertain,eğlendirmek
entertainment,eğlence
enthusiasm,heves
enthusiastic,hevesli
entire,bütün
entirely,Baştan sona
entrance,giriş
entry,giriş
environment,çevre
environmental,çevre
episode,bölüm
equal,eşit
equally,eşit derecede
equipment,teçhizat
error,hata
escape,kaçmak
especially,özellikle
essay,makale
essential,gerekli
establish,kurmak
estate,arazi
estimate,tahmin etmek
ethical,etik
euro,euro
evaluate,değerlendirmek
even,eşit
evening,akşam
event,etkinlik
eventually,sonunda
ever,durmadan
every,Her
everybody,herkes
everyday,Her gün
everyone,herkes
everything,her şey
everywhere,her yer
evidence,kanıt
evil,fenalık
exact,bire bir aynı
exactly,Kesinlikle
exam,sınav
examination,muayene
examine,incelemek
example,örnek
excellent,harika
except,hariç
exchange,değişme
excited,heyecanlı
excitement,heyecanlanmak
exciting,heyecan verici
excuse,mazeret
executive,yönetici
exercise,egzersiz yapmak
exhibition,sergi
exist,var olmak
existence,varoluş
expand,genişletmek
expect,beklemek
expectation,beklenti
expected,beklenen
expedition,sefer
expense,masraf
expensive,masraflı
experience,deneyim
experienced,Tecrübeli
experiment,deney
expert,uzman
explain,açıklamak
explanation,açıklama
explode,patlamak
exploration,keşif
explore,keşfetmek
explosion,patlama
export,ihracat
expose,ortaya çıkarmak
express,ifade etmek
expression,ifade
extend,uzatmak
extent,kapsam
external,harici
extra,ekstra
extraordinary,olağanüstü
extreme,aşırı
extremely,aşırı boyutta
eye,göz
fabric,kumaş
fabulous,efsanevi
facilitate,kolaylaştırmak
faction,hizip
faculty,Fakülte
fade,solmak
failed,arızalı
fairness,adillik
fake,sahte
fame,şöhret
fantasy,fantezi
fare,Ücret
fatal,ölümcül
fate,kader
favourable,elverişli
feat,başarı
federal,federal
feeding,besleme
feminist,feminist
fever,ateş
fibre,lif
fierce,şiddetli
film-maker,film yapımcısı
filter,filtre
fine,iyi
firearm,ateşli silah
firefighter,itfaiyeci
firework,havai fişek
firm,firma
firmly,sıkıca
fit,yerleştirmek
fixture,Fikstür
flavour,lezzet
flaw,kusur
flawed,kusurlu
flee,kaçmak
fleet,filo
flesh,beden
flexibility,esneklik
flourish,güzelleşmek
fluid,sıvı
fond,düşkün
fool,aptal
footage,kamera görüntüsü
forbid,yasaklamak
forecast,tahmin etmek
foreigner,yabancı
forge,dövmek
format,biçim
formation,oluşum
formerly,vakti zamanında
formula,formül
formulate,formüle etmek
forth,ileri
forthcoming,Yaklaşan
fortunate,şanslı
forum,forum
fossil,fosil
foster,bakmak
foundation,temel
founder,kurucu
fraction,fraksiyon
fragile,kırılgan
fragment,parça
framework,çerçeve
franchise,franchise
frankly,açıkçası
fraud,sahtekar
freely,serbestçe
frequent,sık
frustrated,hüsrana uğramış
frustrating,sinir bozucu
frustration,hüsran
fulfil,yerine getirmek
full-time,tam zamanlı
functional,işlevsel
fundamentally,temelde
fundraising,Bağış
funeral,cenaze
furious,çok öfkeli
face,yüz
facility,tesis
fact,hakikat
factor,faktör
factory,fabrika
fail,hata
failure,arıza
fair,adil
fairly,adil bir şekilde
faith,inanç
fall,düşmek
FALSE,YANLIŞ
familiar,aşina
family,aile
famous,ünlü
fan,fan
fancy,süslü
fantastic,fantastik
far,uzak
farm,çiftlik
farmer,çiftçi
farming,çiftçilik
fascinating,büyüleyici
fashion,moda
fashionable,moda
fast,hızlı
fasten,sabitlemek
fat,yağ
father,baba
fault,arıza
favour,iyilik
favourite,favori
fear,korku
feather,tüy
feature,özellik
february,Şubat
fee,ücret
feed,beslemek
feedback,geri bildirim
feel,hissetmek
feeling,his
fellow,aynı tür
female,dişi
fence,çit
festival,Festival
few,bir kaç
fiction,kurgu
field,alan
fifteen,onbeş
fifth,beşinci
fifty,elli
fight,kavga
fighting,savaş
figure,figür
file,dosya
fill,doldurmak
film,film
final,son
finally,Sonunda
finance,finans
financial,parasal
find,bulmak
finding,bulma
fine,iyi
finger,parmak
finish,sona ermek
fire,ateş
firm,firma
first,Birinci
firstly,İlk önce
fish,balık
fishing,Balık tutma
fit,yerleştirmek
fitness,Fitness
five,beş
fix,düzeltmek
fixed,sabit
flag,bayrak
flame,alev
flash,flaş
flat,düz
flexible,esnek
flight,uçuş
float,batmadan yüzmek
flood,sel basmak
floor,zemin
flour,un
flow,akış
flower,çiçek
flu,nezle
fly,uçmak
flying,uçan
focus,odak
fold,katlamak
folding,katlanır
folk,halk
follow,takip etmek
following,takip etme
food,yiyecek
foot,ayak
football,Futbol
for,için
force,güç
foreign,yabancı
forest,orman
forever,sonsuza kadar
forget,unutmak
forgive,affetmek
fork,çatal
form,biçim
formal,resmi
former,önceki
fortunately,neyse ki
fortune,talih
forty,kırk
forward,ileri
found,kurmak
four,dört
fourteen,on dört
fourth,dördüncü
frame,çerçeve
free,özgür
freedom,özgürlük
freeze,donmak
frequency,sıklık
frequently,sıklıkla
fresh,taze
friday,cuma
fridge,buzdolabı
friend,arkadaş
friendly,arkadaşça
friendship,dostluk
frighten,korkutmak
frightened,korkmuş
frightening,korkutucu
frog,kurbağa
from,itibaren
front,ön
frozen,dondurulmuş
fruit,meyve
fry,yağda kızartmak
fuel,yakıt
full,tam dolu
fully,tamamen
fun,eğlence
function,işlev
fund,"fon, sermaye"
fundamental,esas
funding,finansman
funny,eğlenceli
fur,kürk
furniture,mobilya
further,daha öte
furthermore,üstelik
future,gelecek
gallon,galon
gambling,kumar
gaming,oyun
gathering,toplama
gay,eşcinsel
gaze,bakış
gear,vites
gender,cinsiyet
gene,gen
generic,genel
genetic,genetik
genius,dahi
genocide,soykırım
genuine,eşsiz
genuinely,gerçekten
gesture,jest yapmak
gig,konser vermek
glance,bakış atmak
glimpse,göz atmak
globalization,küreselleşme
globe,kürek
glorious,görkemli
glory,görkem
golden,altın
goodness,iyilik
gorgeous,muhteşem
governance,Yönetim
governor,Vali
grace,lütuf
graphic,grafik
graphics,grafikler
grasp,sıkı sıkı tutmak
grave,mezar
gravity,yer çekimi
greatly,büyük ölçüde
greenhouse,sera
grid,Kafes
grief,yas
grin,sırıtış
grind,öğütmek
grip,kavramak
grocery,bakkal
guerrilla,gerilla
guidance,rehberlik
guideline,yönerge
guilt,suç
gut,bağırsak
gain,kazanmak
gallery,galeri
game,oyun
gang,çete
gap,açıklık
garage,garaj
garden,bahçe
gas,gaz
gate,geçit
gather,toplamak
general,genel
generally,genel olarak
generate,üretmek
generation,nesil
generous,cömert
genre,tür
gentle,nazik
gentleman,beyefendi
geography,coğrafya
get,elde etmek
ghost,hayalet
giant,devasa
gift,hediye
girl,kız
girlfriend,kız arkadaşı
give,vermek
glad,memnun
glass,bardak
global,küresel
glove,eldiven
go,Gitmek
goal,amaç
god,Tanrı
gold,altın
golf,golf
good,iyi
goodbye,Güle güle
goods,mal
govern,yönetme
government,devlet
grab,yakalamak
grade,seviye
gradually,gitgide
graduate,mezun olmak
grain,tahıl
grand,büyük
grandfather,Büyük baba
grandmother,Nene
grandparent,büyükanne ve büyükbaba
grant,hibe etmek
grass,çimen
grateful,minnettar
great,Harika
green,yeşil
greet,selamlaşmak
grey,gri
ground,zemin
group,grup
grow,büyümek
growth,büyüme
guarantee,garanti
guard,koruma
guess,tahmin etmek
guest,misafir
guide,rehber
guilty,suçlu
guitar,gitar
gun,silah
guy,adam
gym,spor salonu
habitat,doğal ortam
hail,dolu
halfway,yarıya kadar
halt,durma
handful,avuç
handling,işleme
handy,kullanışlı
harassment,taciz
harbour,liman
hardware,donanım
harmony,uyum
harsh,sert
harvest,hasat
hatred,kin
haunt,uğrak
hazard,tehlike
headquarters,Merkez
heal,iyileştirmek
healthcare,sağlık hizmeti
heighten,yükseltmek
helmet,kask
hence,buradan
herb,bitki
heritage,miras
hidden,gizlenmiş
hierarchy,hiyerarşi
high-profile,yüksek profilli
highway,otoyol
hilarious,gülünç
hint,ipucu
hip,belki
historian,tarihçi
homeland,anavatan
homeless,evsiz
honesty,dürüstlük
hook,kanca
hopeful,umutlu
hopefully,umutla
horizon,ufuk
horn,korna
hostage,rehin
hostile,düşmanca
hostility,düşmanlık
humanitarian,insani
humanity,insanlık
humble,mütevazı
hunger,açlık
hydrogen,hidrojen
hypothesis,hipotez
habit,alışkanlık
hair,saç
half,yarım
hall,salon
hand,el
handle,halletmek
hang,asmak
happen,olmak
happily,mutlu bir şekilde
happiness,mutluluk
happy,mutlu
hard,zor
hardly,zorlu
harm,zarar
harmful,zararlı
hat,şapka
hate,nefret
have,sahip olmak
have to,zorunda
he,O
head,KAFA
headache,baş ağrısı
headline,başlık
health,sağlık
healthy,sağlıklı
hear,duymak
hearing,işitme
heart,kalp
heat,sıcaklık
heating,ısıtma
heaven,cennet
heavily,ağır şekilde
heavy,ağır
heel,topuk
height,yükseklik
helicopter,helikopter
hell,cehennem
hello,Merhaba
help,yardım
helpful,yardımsever
her,o
here,Burada
hero,kahraman
hers,onunki
herself,kendini
hesitate,tereddüt etmek
hey,Hey
hi,MERHABA
hide,saklamak
high,yüksek
highlight,vurgulamak
highly,büyük ölçüde
hill,tepe
him,o
himself,kendisi
hire,kiralamak
his,onun
historic,tarihi
historical,tarihi
history,tarih
hit,vurmak
hobby,hobi
hockey,hokey
hold,tutmak
hole,delik
holiday,tatil
hollow,oyuk
holy,kutsal
home,Ev
homework,Ev ödevi
honest,dürüst
honour,onur
hope,umut
horrible,berbat
horror,korku
horse,atış
hospital,hastane
host,ev sahibi
hot,sıcak
hotel,otel
hour,saat
house,ev
household,ev
housing,Konut
how,Nasıl
however,Yine de
huge,büyük
human,insan
humorous,"nükteli, komik"
humour,mizah
hundred,yüz
hungry,aç
hunt,avlamak
hunting,avcılık
hurricane,kasırga
hurry,acele etmek
hurt,acıtmak
husband,koca
icon,simge
identical,birebir aynı
identification,Tanılama
ideological,ideolojik
ideology,ideoloji
idiot,salak
ignorance,cehalet
illusion,yanılsama
imagery,görüntüler
immense,engin
immigration,göçmenlik
imminent,yakın
immune,bağışık
implement,uygulamak
implementation,uygulama
implication,ima
imprison,hapsetmek
imprisonment,hapis cezası
inability,yeteneksizlik
inadequate,yetersiz
inappropriate,uygunsuz
incentive,teşvik
incidence,insidans
inclined,eğimli
inclusion,dahil etme
incorporate,firma kurmak
incorrect,yanlış
incur,katlanmak
independence,bağımsızlık
index,indeks
indication,gösterge
indicator,gösterge
indictment,iddianame
indigenous,yerli
induce,indüklemek
indulge,şımartmak
inequality,eşitsizlik
inevitable,kaçınılmaz
infamous,rezil
infant,bebek
infect,enfekte etmek
infer,anlam çıkarmak
inflation,şişirme
inflict,zorlamak
influential,etkili
info,bilgi
infrastructure,altyapı
inhabitant,oturan
inherent,doğal
inherit,miras almak
inhibit,engellemek
initiate,başlatmak
inject,enjekte etmek
injection,enjeksiyon
injustice,adaletsizlik
ink,mürekkep
inmate,mahkum
innovation,yenilik
innovative,yenilikçi
input,giriş
insert,sokmak
insertion,ekleme
insider,içeriden
inspect,incelemek
inspection,denetleme
inspector,müfettiş
inspiration,esin
installation,kurulum
instant,ani
instantly,aniden
instinct,içgüdü
institutional,kurumsal
instruct,öğretmek
instrumental,enstrümantal
insufficient,yetersiz
insult,hakaret
intact,bozulmamış
intake,alım
integral,entegre
integrate,birleştirmek
integrated,Birleşik
integration,entegrasyon
integrity,bütünlük
intellectual,entelektüel
intensify,yoğunlaştırmak
intensity,yoğunluk
intensive,yoğun
intent,niyet
interact,etkileşime girmek
interaction,etkileşim
interactive,etkileşimli
interface,arayüz
interfere,müdahale etmek
interference,parazit yapmak
interim,ara
interior,iç mekan
intermediate,orta seviye
interpretation,tercüme
interval,aralık
intervene,araya girmek
intervention,araya girmek
intimate,samimi
intriguing,ilgi çekici
invade,istila etmek
invasion,istila
investigator,müfettiş
investor,yatırımcı
invisible,görünmez
invoke,çağırmak
involvement,tutulum
ironic,ironik
ironically,ironik bir şekilde
irony,ironi
irrelevant,alakasız
isolate,izole etmek
isolated,yalıtılmış
isolation,izolasyon
i,Ben
ice,buz
ice cream,dondurma
idea,fikir
ideal,ideal
identify,tanımlamak
identity,kimlik
if,eğer
ignore,görmezden gelmek
ill,hasta
illegal,yasadışı
illness,hastalık
illustrate,gözünde canlandırmak
illustration,gösterim
image,imaj
imaginary,hayali
imagination,hayal gücü
imagine,hayal etmek
immediate,hemen
immediately,hemen
immigrant,göçmen
impact,darbe
impatient,sabırsız
imply,ima etmek
import,içe aktarmak
importance,önem
important,önemli
impose,empoze etmek
impossible,imkansız
impress,etkilemek
impressed,etkilenmiş
impression,izlenim
impressive,etkileyici
improve,geliştirmek
improvement,gelişim
in,içinde
inch,inç
incident,olay
include,katmak
included,dahil
including,içermek
income,gelir
increase,arttırmak
increasingly,giderek
incredible,inanılmaz
incredibly,inanılmaz şekilde
indeed,Aslında
independent,bağımsız
indicate,belirtmek
indirect,dolaylı
individual,bireysel
indoor,kapalı
indoors,kapalı
industrial,Sanayi
industry,sanayi
infection,enfeksiyon
influence,etkilemek
inform,bilgi vermek
informal,gayri resmi
information,bilgi
ingredient,bileşen
initial,ilk
initially,ilk olarak
initiative,girişim
injure,yaralamak
injured,yaralı
injury,incinme
inner,iç
innocent,masum
insect,böcek
inside,içeri
insight,iç yüzü
insist,ısrar etmek
inspire,ilham vermek
install,düzenlemek
instance,misal
instead,yerine
institute,enstitü
institution,kurum
instruction,talimat
instructor,eğitmen
instrument,enstrüman
insurance,sigorta
intelligence,istihbarat
intelligent,zeki
intend,niyet etmek
intended,amaçlanan
intense,yoğun
intention,niyet
interest,faiz
interested,ilgili
interesting,ilginç
internal,dahili
international,uluslararası
internet,internet
interpret,yorumlamak
interrupt,yarıda kesmek
interview,röportaj
into,içine
introduce,tanıtmak
introduction,giriiş
invent,icat etmek
invention,buluş
invest,yatırım
investigate,araştırmak
investigation,soruşturma
investment,yatırım
invitation,davet
invite,davet etmek
involve,içermek
involved,dahil olmuş
iron,ütü
island,ada
issue,sorun
it,BT
item,öğe
its,onun
itself,kendisi
jail,hapishane
jet,jet
joint,eklem yeri
journalism,gazetecilik
judicial,yargı
junction,Kavşak noktası
jurisdiction,yargı yetkisi
jury,jüri
just,Sadece
justification,meşrulaştırma
jacket,ceket
jam,reçel
january,Ocak
jazz,caz
jeans,kot
jewellery,mücevher
job,iş
join,katılmak
joke,şaka
journal,dergi
journalist,gazeteci
journey,seyahat
joy,neşe
judge,yargıç
judgement,yargılama
juice,Meyve suyu
july,temmuz
jump,zıplamak
june,haziran
junior,genç
just,Sadece
justice,adalet
justify,savunmak
kidnap,kaçırmak
kidney,böbrek
kingdom,krallık
kit,set
keen,hevesli
keep,kale
key,anahtar
keyboard,tuş takımı
kick,tekme atmak
kid,çocuk
kill,öldürmek
killing,öldürme
kilometre,kilometre
kind,tür
king,kral
kiss,öpücük
kitchen,mutfak
knee,diz
knife,bıçak
knock,vuruş
know,Bilmek
knowledge,bilgi
lad,delikanlı
ladder,merdiven
landing,iniş
landlord,kiraya veren
landmark,dönüm noktası
lane,Lane
lap,kucak
large-scale,büyük ölçekli
laser,lazer
lately,son zamanlarda
latter,ikincisi
lawn,çim
lawsuit,dava
layout,düzen
leaflet,broşür
leak,sızıntı
leap,sıçramak
legacy,miras
legend,efsane
legendary,efsanevi
legislation,mevzuat
legislative,yasama
legislature,yasama organı
legitimate,meşru
lengthy,uzun
lens,lens
lesbian,lezbiyen
lesser,daha az
lethal,ölümcül
liable,sorumlu
liberal,liberal
liberation,kurtuluş
liberty,özgürlük
license,lisans
lifelong,ömür boyu
lifetime,ömür
lighting,aydınlatma
likelihood,olasılık
likewise,aynı şekilde
limb,uzuv
limitation,sınırlama
line-up,sıralanmak
linear,doğrusal
linger,oyalanmak
listing,liste
literacy,okuryazarlık
literally,gerçekten
literary,edebi
litre,litre
litter,yavrulamak
liver,karaciğer
lobby,lobi
log,kayıt
logic,mantık
logo,logo
long-standing,uzun süredir devam eden
long-time,uzun zaman
loom,tezgâh
loop,döngü
lottery,piyango
loyal,sadık
loyalty,bağlılık
lyric,lirik
lab,laboratuvar
label,etiket
laboratory,laboratuvar
labour,iş gücü
lack,eksiklik
lady,bayan
lake,göl
lamp,lamba
land,kara
landscape,manzara
language,dil
laptop,dizüstü bilgisayar
large,büyük
largely,büyük oranda
last,son
late,geç
later,Daha sonra
latest,en sonuncu
laugh,gülmek
laughter,kahkaha
launch,öğle yemeği
law,kanun
lawyer,avukat
lay,sermek
layer,katman
lazy,tembel
lead,yol göstermek
leader,Önder
leadership,liderlik
leading,önde gelen
leaf,yaprak
league,lig
lean,eğilmek
learn,öğrenmek
learning,öğrenme
least,en az
leather,deri
leave,ayrılmak
lecture,ders
left,sol
leg,bacak
legal,yasal
leisure,boş vakit
lemon,limon
lend,ödünç vermek
length,uzunluk
less,az
lesson,ders
let,izin vermek
letter,mektup
level,seviyesi
library,kütüphane
licence,lisans
lie,yalan
life,hayat
lifestyle,yaşam tarzı
lift,kaldırmak
light,ışık
like,beğenmek
likely,büyük ihtimalle
limit,sınırlamak
limited,sınırlı
line,astar
link,bağlantı
lion,aslan
lip,dudak
liquid,sıvı
list,liste
listen,Dinlemek
listener,dinleyici
literature,edebiyat
little,biraz
live,canlı
lively,canlı
living,yaşamak
load,yük
loan,borç
local,yerel
locate,bulmak
located,yerleşmiş
location,konum
lock,kilit
logical,mantıklı
lonely,yalnız
long,uzun
long-term,uzun vadeli
look,Bakmak
loose,gevşetmek
lord,Kral
lorry,kamyon
lose,kaybetmek
loss,kayıp
lost,kayıp
lot,pay
loud,yüksek sesle
loudly,yüksek sesle
love,Aşk
lovely,sevimli
low,Düşük
lower,daha düşük
luck,şans
lucky,şanslı
lunch,öğle yemeği
lung,akciğer
luxury,lüks
machinery,makine
magical,büyülü
magistrate,sulh yargıcı
magnetic,manyetik
magnificent,muhteşem
magnitude,büyüklük
mainland,anakara
mainstream,ana akım
maintenance,Bakım
major,ana
make-up,makyaj yapmak
making,yapımı
mandate,hakimiyet
mandatory,zorunlu
manifest,belirgin
manipulate,manipule etmek
manipulation,manipülasyon
manufacture,üretmek
manufacturing,üretme
manuscript,el yazması
marathon,maraton
march,mart
margin,marj
marginal,marjinal
marine,deniz
marker,işaretleyici
marketplace,pazar
martial,dövüş
mask,maske
massacre,katliam
mate,mat
mathematical,matematiksel
mature,olgun
maximize,en üst düzeye çıkarmak
mayor,Belediye Başkanı
meaningful,anlamlı
meantime,Bu arada
mechanic,tamirci
mechanical,mekanik
mechanism,mekanizma
medal,madalya
medication,ilaç tedavisi
medieval,Ortaçağa ait
meditation,meditasyon
melody,melodi
membership,üyelik
memo,hafıza
memoir,anı
memorable,unutulmaz
memorial,anıt
mentor,akıl hocası
merchant,tüccar
mercy,merhamet
mere,sadece
merely,sadece
merge,birleştirmek
merger,birleşme
merit,hak
metaphor,metafor
methodology,metodoloji
midst,ortasında
migration,göç
militant,militan
militia,milis
mill,değirmen
miner,madenci
minimal,en az
minimize,küçültmek
mining,madencilik
ministry,bakanlık
minute,dakika
miracle,mucize
miserable,acınası
misery,sefalet
misleading,yanıltıcı
missile,füze
mob,mafya
mobility,hareketlilik
mobilize,harekete geçirmek
mode,moda
moderate,ılıman
modest,mütevazı
modification,değiştirme
momentum,itme
monk,keşiş
monopoly,Tekel
monster,canavar
monthly,aylık
monument,anıt
morality,ahlak
moreover,Dahası
mortgage,ipotek
mosque,cami
motion,hareket
motivate,motive etmek
motivation,motivasyon
motive,güdü
motorist,sürücü
moving,hareketli
municipal,belediye
mutual,karşılıklı
myth,efsane
machine,makine
mad,kızgın
magazine,dergi
magic,büyü
mail,posta
main,ana
mainly,daha çok
maintain,sürdürmek
major,ana
majority,çoğunluk
make,yapmak
male,erkek
mall,alışveriş merkezi
man,Adam
manage,üstesinden gelmek
management,yönetmek
manager,müdür
manner,biçim
many,birçok
map,harita
march,mart
mark,işaret
market,pazar
marketing,pazarlama
marriage,evlilik
married,evli
marry,evlenmek
mass,yığın
massive,cüsseli
master,usta
match,kibrit
matching,eşleştirme
material,malzeme
mathematics,matematik
maths,Matematik
matter,konu
maximum,maksimum
may,mayıs
maybe,Belki
me,Ben
meal,yemek
mean,Anlam
meaning,Anlam
means,araç
meanwhile,Bu sırada
measure,ölçüm
measurement,ölçüm
meat,et
media,medya
medical,tıbbi
medicine,ilaç
medium,orta
meet,tanışmak
meeting,toplantı
melt,eritmek
member,üye
memory,hafıza
mental,akıllı
mention,değinmek
menu,Menü
mess,karışıklık
message,İleti
metal,metal
method,yöntem
metre,metre
middle,orta
midnight,gece yarısı
might,belki
mild,hafif
mile,mil
military,askeri
milk,süt
million,milyon
mind,akıl
mine,bana ait
mineral,mineral
minimum,minimum
minister,bakan
minor,küçük
minority,azınlık
minute,dakika
mirror,ayna
miss,kayıp
missing,eksik
mission,misyon
mistake,hata
mix,karışım
mixed,karışık
mixture,karışım
mobile,hareketli
model,model
modern,modern
modify,değiştirmek
moment,an
monday,Pazartesi
money,para
monitor,izlemek
monkey,maymun
month,ay
mood,mod
moon,ay
moral,ahlak
more,Daha
morning,Sabah
most,en
mostly,çoğunlukla
mother,anne
motor,motor
motorcycle,motosiklet
mount,takılmak
mountain,dağ
mouse,fare
mouth,ağız
move,taşınmak
movement,hareket
movie,film
much,fazla
mud,çamur
multiple,çoklu
multiply,çarpmak
mum,anne
murder,cinayet
muscle,kas
museum,müze
music,müzik
musical,müzikal
musician,müzisyen
must,mutlak
my,Benim
myself,kendim
mysterious,gizemli
mystery,gizem
naked,çıplak
namely,yani
nasty,edepsiz
nationwide,ülke çapında
naval,deniz
navigation,navigasyon
nearby,yakında
necessity,zorunluluk
neglect,ihmal etmek
negotiate,müzakere etmek
negotiation,müzakere
neighbouring,komşu
nest,yuva
net,açık
neutral,doğal
newly,yeni
newsletter,bülten
niche,niş
noble,soylu
nod,başını sallamak
nominate,aday göstermek
nomination,adaylık
nominee,aday
non-profit,kar amacı gütmeyen
nonetheless,Her şeye rağmen
nonsense,anlamsız
noon,öğlen
norm,norm
notable,dikkate değer
notably,özel olarak
notebook,not defteri
notify,bilgilendirmek
notorious,kötü şöhretli
novel,roman
novelist,romancı
nowadays,bu günlerde
nursery,yuva
nursing,emzirme
nutrition,beslenme
nail,çivi
name,isim
narrative,anlatı
narrow,dar
nation,ulus
national,ulusal
native,yerli
natural,doğal
naturally,doğal olarak
nature,doğa
near,yakın
nearly,neredeyse
neat,düzenli
necessarily,zorunlu olarak
necessary,gerekli
neck,boyun
need,ihtiyaç
needle,iğne
negative,olumsuz
neighbour,komşu
neighbourhood,komşu
neither,hiç biri
nerve,sinir
nervous,gergin
net,açık
network,ağ
never,Asla
nevertheless,yine de
new,yeni
news,haberler
newspaper,gazete
next,Sonraki
next to,yanında
nice,Güzel
night,gece
nightmare,kabus
nine,dokuz
nineteen,on dokuz
ninety,doksan
no,HAYIR
no one,hiç kimse
nobody,hiç kimse
noise,gürültü
noisy,gürültülü
none,hiçbiri
nor,ne
normal,normal
normally,normalde
north,kuzey
northern,kuzey
nose,burun
not,Olumsuz
note,Not
nothing,Hiçbir şey
notice,fark etme
notion,fikir
novel,roman
november,kasım
now,Şimdi
nowhere,Hiçbir yerde
nuclear,nükleer
number,sayı
numerous,çeşitli
nurse,hemşire
nut,ceviz
obesity,obezite
objection,itiraz
oblige,mecbur etmek
observer,gözlemci
obsess,takıntılı olmak
obsession,saplantı
obstacle,engel
occasional,ara sıra
occupation,meslek
occupy,işgal etmek
occurrence,ortaya çıkma
odds,ihtimal
offender,suçlu
offering,teklif
offspring,yavru
ongoing,devam eden
openly,açıkça
opera,opera
operational,operasyonel
operator,Şebeke
opt,seçmek
optical,optik
optimism,iyimserlik
optimistic,iyimser
oral,Oral
orchestra,orkestra
organic,organik
organizational,örgütsel
orientation,oryantasyon
originate,doğmak
outbreak,salgın
outfit,kıyafet
outing,gezi
outlet,çıkış
outlook,görünüm
output,çıktı
outrage,öfke
outsider,yabancı
outstanding,üstün
overcome,üstesinden gelmek
overlook,görmezden gelmek
overly,aşırı
overnight,bir gecede
overseas,denizaşırı
oversee,denetlemek
overturn,devirmek
overwhelm,kaplamak
overwhelming,ezici
ownership,sahiplik
oxygen,oksijen
o'clock,saat
obey,itaat etmek
object,nesne
objective,amaç
obligation,yükümlülük
observation,gözlem
observe,gözlemlemek
obtain,elde etmek
obvious,bariz
obviously,açıkça
occasion,durum
occasionally,ara sıra
occur,meydana gelmek
ocean,okyanus
october,ekim
odd,garip
of,ile ilgili
off,kapalı
offence,suç
offend,gücendirmek
offensive,saldırgan
offer,teklif
office,ofis
officer,subay
official,resmi
often,sıklıkla
oh,ah
oil,yağ
ok,Tamam
old,eskimiş
old-fashioned,eski moda
on,Açık
once,bir kere
one,bir
onion,soğan
online,çevrimiçi
only,sadece
onto,üzerine
open,açık
opening,açılış
operate,çalıştırmak
operation,operasyon
opinion,fikir
opponent,rakip
opportunity,fırsat
oppose,karşı çıkmak
opposed,karşı
opposite,zıt
opposition,muhalefet
option,seçenek
or,veya
orange,turuncu
order,emir
ordinary,sıradan
organ,organ
organization,organizasyon
organize,düzenlemek
organized,organize edilmiş
organizer,organizatör
origin,Menşei
original,orijinal
originally,aslında
other,diğer
otherwise,aksi takdirde
ought,zorla
our,bizim
ours,bizim
ourselves,kendimizi
out,dışarı
outcome,sonuç
outdoor,dış mekan
outdoors,açık havada
outer,dış
outline,taslak
outside,dıştan
oven,fırın
over,üzerinde
overall,etraflı
owe,sahip olmak
own,sahip olmak
owner,mal sahibi
packet,paket
pad,ped
palm,avuç içi
panic,panik
parade,geçit töreni
parallel,paralel
parameter,parametre
parental,ebeveyn
parish,cemaat
parliamentary,parlamento
part-time,yarı zamanlı
partial,kısmi
partially,kısmen
participation,katılım
partnership,ortaklık
passing,geçen
passionate,tutkulu
passive,pasif
password,şifre
pastor,papaz
patch,yama
patent,patent
pathway,patika
patience,sabır
patrol,devriye gezmek
patron,patron
pause,Duraklat
peak,doruğa ulaşmak
peasant,köylü
peculiar,özel eşya
peer,akran
penalty,ceza
perceive,algılamak
perception,algı
permanently,kalıcı olarak
persist,ısrar etmek
persistent,kalıcı
personnel,personel
petition,dilekçe
philosopher,filozof
philosophical,felsefi
physician,doktor
pill,hap
pioneer,öncü
pipeline,boru hattı
pirate,korsan
pit,çukur
pity,acımak
placement,atama
plea,savunma
plead,savunmak
pledge,rehin
plug,fiş
plunge,dalma
pole,kutup
poll,anket
pond,gölet
pop,pop
portfolio,portföy
portion,porsiyon
portray,tasvir etmek
post-war,savaş sonrası
postpone,ertelemek
potentially,potansiyel olarak
practitioner,uygulayıcı
preach,vaaz vermek
precede,öne çıkmak
precedent,emsal teşkil eden
precious,değerli
precise,kesin
precisely,açık olarak
precision,kesinlik
predator,yırtıcı kimse
predecessor,selefi
predictable,öngörülebilir
predominantly,ağırlıklı olarak
preference,tercih
pregnancy,gebelik
prejudice,ön yargı
preliminary,ön hazırlık
premier,ilk
premise,Öncül
premium,ödül
prescribe,Reçetelemek
prescription,reçete
